Property ID,Status,Type,Date,Property Name,Address,Units,sf,Yr Built,Price ($),Cap Rate,Latitude,Longitude,Noi,CashFlow,time_diff
23105,Sale,Apartment,2003/7/25,Sundown Village,8215 Oracle Rd,330,208258,1984,16605000.0,7.3999999999999995,32.35591,-110.97593,0.0,-16605000.0,0.07671232876712329
23105,Sale,Apartment,2004/07/25,Sundown Village,8215 Oracle Rd,330,208258,1984,16605000.0,7.3999999999999995,32.35591,-110.97593,1228770.0,1228770.0,1.0
23105,Sale,Apartment,2005/07/25,Sundown Village,8215 Oracle Rd,330,208258,1984,16605000.0,7.3999999999999995,32.35591,-110.97593,1277807.210603589,1277807.210603589,1.0
23105,Sale,Apartment,2006/07/25,Sundown Village,8215 Oracle Rd,330,208258,1984,16605000.0,7.3999999999999995,32.35591,-110.97593,1331064.91979316,1331064.91979316,1.0
23105,Sale,Apartment,2007/07/25,Sundown Village,8215 Oracle Rd,330,208258,1984,16605000.0,7.3999999999999995,32.35591,-110.97593,1397618.165782818,1397618.165782818,1.0
23105,Sale,Apartment,2008/07/25,Sundown Village,8215 Oracle Rd,330,208258,1984,16605000.0,7.3999999999999995,32.35591,-110.97593,1444553.4117039964,1444553.4117039964,1.0
23105,Sale,Apartment,2009/07/25,Sundown Village,8215 Oracle Rd,330,208258,1984,16605000.0,7.3999999999999995,32.35591,-110.97593,1516781.0822891963,1516781.0822891963,1.0
23105,Sale,Apartment,2010/07/25,Sundown Village,8215 Oracle Rd,330,208258,1984,16605000.0,7.3999999999999995,32.35591,-110.97593,1500139.5464344497,1500139.5464344497,1.0
23105,Sale,Apartment,2011/07/25,Sundown Village,8215 Oracle Rd,330,208258,1984,16605000.0,7.3999999999999995,32.35591,-110.97593,1533670.557240797,1533670.557240797,1.0
23105,Sale,Apartment,2012/07/25,Sundown Village,8215 Oracle Rd,330,208258,1984,16605000.0,7.3999999999999995,32.35591,-110.97593,1604659.8114384208,1604659.8114384208,1.0
1007767,Sale,Apartment,2012/11/28,Sundown Village,8215 Oracle Rd,330,208258,1984,18533333.3,0.0,32.35591,-110.97593,565728.7260871482,18728395.36008715,0.3442622950819672
